date,date_str,annee,mois,zone,cote,swh_mean,swh_min,swh_max_value,swh_std,swh_max_absolu,n_points,etat_mer_satellite,score_risque_vague
2017-10-02,2017-10,2017,10,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,1.8263072100092623,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
2017-10-02,2017-10,2017,10,CAP D'AMBRE A ANTALAHA,NORD-EST,2.4923024920967173e+36,0.7665561037138376,9.969209968386869e+36,4.3167945441420447e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-10-02,2017-10,2017,10,ANTALAHA A TOAMASINA,EST,1.2461512460483586e+36,1.338855809342831,9.969209968386869e+36,3.297006293017218e+36,9.969209968386869e+36,8,Tres forte,10.0
2017-10-02,2017-10,2017,10,TOAMASINA A MANANJARY,EST,4.9846049841934345e+36,1.6967664416052657,9.969209968386869e+36,4.9846049841934345e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-10-02,2017-10,2017,10,MANANJARY A TAOLAGNARO,SUD-EST,4.153837486827862e+36,1.5028642691012313,9.969209968386869e+36,4.9148867956207265e+36,9.969209968386869e+36,12,Tres forte,10.0
2017-10-02,2017-10,2017,10,NOSY BE ET ENVIRONS,NORD-OUEST,0.9823312200668263,0.7665561037138376,1.435169635648849,0.26796291787477844,1.911992109272179,4,Peu agitee,2.0
2017-11-02,2017-11,2017,11,CAP D'AMBRE A TOAMASINA,EST,1.2461512460483586e+36,1.0635286542741875,9.969209968386869e+36,3.297006293017218e+36,9.969209968386869e+36,16,Tres forte,10.0
2017-11-02,2017-11,2017,11,CAP D'AMBRE A MAHANORO,EST,2.584609991804003e+36,0.6291949240148493,9.969209968386869e+36,4.3687882627739794e+36,9.969209968386869e+36,27,Tres forte,10.0
2017-11-02,2017-11,2017,11,MAHANORO AU CAP SAINTE MARIE,SUD-EST,3.9876839873547476e+36,1.5531957957370526,9.969209968386869e+36,4.8838955122430895e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-11-02,2017-11,2017,11,TOAMASINA AU CAP SAINTE MARIE,EST-SUD,4.735374734983763e+36,1.5248060453041767,9.969209968386869e+36,4.978370328865151e+36,9.969209968386869e+36,40,Tres forte,10.0
2017-11-02,2017-11,2017,11,CAP D'AMBRE A BESALAMPY,NORD-OUEST,2.990762990516061e+36,0.5640477792926849,9.969209968386869e+36,4.5684659299041145e+36,9.969209968386869e+36,30,Tres forte,10.0
2017-11-02,2017-11,2017,11,BESALAMPY A MOROMBE,OUEST,4.43075998594972e+36,0.6416689750681122,9.969209968386869e+36,4.953740260284793e+36,9.969209968386869e+36,18,Tres forte,10.0
2017-11-02,2017-11,2017,11,MOROMBE AU CAP SAINTE MARIE,SUD-OUEST,5.316911983139664e+36,0.9140997277603916,9.969209968386869e+36,4.973515749135352e+36,9.969209968386869e+36,15,Tres forte,10.0
