Date debut,Date fin,Thématique,Objets,District,Commune,Localite,Region,Types,Longitude,Latitude,Personne concerne,Mort,Colonne1,description,Commentaire,Date_debut_dt
10/11/2019,10/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
11/11/2019,11/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
12/11/2019,12/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
13/11/2019,13/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
14/11/2019,14/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
15/11/2019,15/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
16/11/2019,16/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
17/11/2019,17/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
18/11/2019,18/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
19/11/2019,19/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
20/11/2019,20/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
21/11/2019,21/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
22/11/2019,22/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
23/11/2019,23/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
24/11/2019,24/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
25/11/2019,,Incident maritime,Chavirage d'un pirogue,ANTALAHA,,,,,50.287505555555555,-14.908622222222222,,,,"Le 25 novembre 2019 vers 22H00, une pirogue transportant des bois ordinaires est renversée dans la mer au large du Fokontany Ambinanimarambo Commune Rurale Ambalabe du District Antalaha. Le navire en provenance d’Ambohitralanana est en direction vers Antalaha. L’accident est survenu au nord dudit fokontany au passage d’une embouchure. Sur les quatre (04) membres d’équipage dans la pirogue, trois (03) ont pu rejoindre la côte et sont retrouvés sains et saufs dans la nuit du 25 novembre 2019. Le dernier membre de l’équipage, le nommé RABARISON Mamitiana, âgé de 27 ans, habitant du Fokontany Ankolabe Antalaha est retrouvé mort sur la plage d’Ambinanimarambo le 27 novembre 2019 vers 05H40. Le défunt ne savait pas nager. La pirogue ainsi que les planches à bord sont emportées par le courant marin.",,2019-11-25
26/11/2019,26/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
27/11/2019,27/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
28/11/2019,28/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
29/11/2019,29/11/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
30/11/2019,,Incident maritime,Passage du navire plaisance ARIANE EXPRESS,MANANARA NORD,,,,,49.80359444444444,-16.169311111111114,,,,"Le navire ARIANE EXPRESS assure le transport maritime des passagers entre Maroantsetra et Mananara-Nord. A part de ses 09 équipages, il a transporté 120 passagers le 30 Novembre 2019. Et vers 22h, suite à la condition météorologique de cette zone et le mauvais état de la mer, ce navire a risqué d’être chaviré. Mais grâce à l’intervention de l’équipe de l’APMF qui a envoyé ses trois (03) vedettes pour lui porter secours, avec ses 129 personnes à bord, le navire est arrivé sans incidence à Mananara-Avaratra. ",,2019-11-30
01/12/2019,01/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
02/12/2019,02/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
03/12/2019,03/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
04/12/2019,04/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
05/12/2019,05/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
06/12/2019,06/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
07/12/2019,07/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
08/12/2019,08/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
09/12/2019,09/12/2019,Incident maritime,,,,,,,,,,,,Aucun incident maritime,,
